method,method_code,Nr,states_per_electrode,total_states,runtime_s,rmse_vs_exp_V,rmse_vs_dense_fdm_V,max_rel_inventory_drift,obs_sample_count,obs_min_rank,obs_max_rank,obs_min_rank_fraction,obs_finite_cond_fraction,obs_median_finite_condition_number,obs_min_sigma_min,obs_min_ocp_slope_metric
FDM,FDM,4,4,8,0.414400666666667,0.0152104692177946,0.0087340186432951,0.00807540634450169,7,5,5,0.625,0,Inf,0,0.379923501901241
FDM,FDM,6,6,12,0.425210583333333,0.0130748709314175,0.00446906904032046,0.00363495316969329,7,9,9,0.75,0,Inf,0,0.370537809663854
FDM,FDM,8,8,16,0.489229,0.0124841216915468,0.0026808829117683,0.00194322491139008,7,13,13,0.8125,0,Inf,0,0.368304332510611
FDM,FDM,12,12,24,0.516236,0.0122247358519537,0.0012976238551646,0.000806324798479024,7,15,19,0.625,0,Inf,0,0.367083044495433
FDM,FDM,16,16,32,0.552191,0.0121910662371918,0.000771535111231459,0.000436636146808179,7,18,23,0.5625,0,Inf,0,0.366725760917704
FDM,FDM,24,24,48,0.652354625,0.0121940424187233,0.00036356909041178,0.000186619929513625,7,22,27,0.458333333333333,0,Inf,0,0.366490586801409
FDM,FDM,32,32,64,0.724896916666667,0.0122016860467923,0.000206171504363324,0.000102893035204801,7,26,30,0.40625,0,Inf,0,0.366414101080873
FDM,FDM,48,48,96,0.865628791666667,0.0122095090420854,8.40032110964766e-05,4.48118661272804e-05,7,29,33,0.302083333333333,0,Inf,0,0.366360060281259
FDM,FDM,64,64,128,0.979969541666667,0.0122127295544784,3.78934735163121e-05,2.49500208170268e-05,7,31,35,0.2421875,0,Inf,0,0.366342475694694
FDM,FDM,101,101,202,1.29146508333333,0.0122153498127415,0,9.90547589467484e-06,7,34,37,0.168316831683168,0,Inf,0,0.366328346427493
FVM-S0,FVM,4,3,6,0.617526875,0.0259723905710521,0.0229106307309472,0.000620157003646024,7,5,5,0.833333333333333,0,Inf,7.28569481789914e-19,0.452531805602393
FVM-S0,FVM,6,5,10,0.268624875,0.0207478686970274,0.0167239687058693,0.000256991597295923,7,9,9,0.9,0,Inf,4.17753955345108e-19,0.452056443217338
