method,Nr,states_per_electrode,total_states,sample_count,min_rank,max_rank,min_rank_fraction,finite_condition_fraction,min_sigma_min,min_ocp_slope_metric,median_finite_condition_number,max_finite_condition_number
FDM,4,4,8,7,5,5,0.625,0,0,0.379923501901241,Inf,Inf
FDM,6,6,12,7,9,9,0.75,0,0,0.370537809663854,Inf,Inf
FDM,8,8,16,7,13,13,0.8125,0,0,0.368304332510611,Inf,Inf
FDM,12,12,24,7,15,19,0.625,0,0,0.367083044495433,Inf,Inf
FDM,16,16,32,7,18,23,0.5625,0,0,0.366725760917704,Inf,Inf
FDM,24,24,48,7,22,27,0.458333333333333,0,0,0.366490586801409,Inf,Inf
FDM,32,32,64,7,26,30,0.40625,0,0,0.366414101080873,Inf,Inf
FDM,48,48,96,7,29,33,0.302083333333333,0,0,0.366360060281259,Inf,Inf
FDM,64,64,128,7,31,35,0.2421875,0,0,0.366342475694694,Inf,Inf
FDM,101,101,202,7,34,37,0.168316831683168,0,0,0.366328346427493,Inf,Inf
FVM-S0,4,3,6,7,5,5,0.833333333333333,0,7.28569481789914e-19,0.452531805602393,Inf,Inf
FVM-S0,6,5,10,7,9,9,0.9,0,4.17753955345108e-19,0.452056443217338,Inf,Inf
FVM-S0,8,7,14,7,13,13,0.928571428571429,0,7.69727570204923e-19,0.429650263569153,Inf,Inf
FVM-S0,12,11,22,7,16,19,0.727272727272727,0,7.53227310429931e-20,0.407662316938609,Inf,Inf
FVM-S0,16,15,30,7,18,24,0.6,0,6.39626115158287e-26,0.396970645084972,Inf,Inf
FVM-S0,24,23,46,7,23,28,0.5,0,2.57950489099579e-33,0.386512627507813,Inf,Inf
FVM-S0,32,31,62,7,27,31,0.435483870967742,0,2.39661420729114e-36,0.381373214418149,Inf,Inf
FVM-S0,48,47,94,7,30,34,0.319148936170213,0,3.10023971976819e-45,0.376294321889269,Inf,Inf
FVM-S0,64,63,126,7,32,36,0.253968253968254,0,2.51268064963991e-54,0.373776563665081,Inf,Inf
FVM-S0,101,100,200,7,35,39,0.175,0,3.08674496027999e-45,0.371030056851374,Inf,Inf
FVM-S1,4,3,6,7,5,5,0.833333333333333,0,1.29893212595519e-18,0.401976158421984,Inf,Inf
FVM-S1,6,5,10,7,9,9,0.9,0,1.9121071591878e-19,0.379457265615594,Inf,Inf
FVM-S1,8,7,14,7,13,13,0.928571428571429,0,1.04914374754227e-18,0.372882039168857,Inf,Inf
FVM-S1,12,11,22,7,16,19,0.727272727272727,0,3.68123477641483e-20,0.368890481334544,Inf,Inf
FVM-S1,16,15,30,7,18,24,0.6,0,1.73228330840976e-26,0.367679830602085,Inf,Inf
FVM-S1,24,23,46,7,23,28,0.5,0,7.74536592733972e-34,0.366890402759533,Inf,Inf
FVM-S1,32,31,62,7,27,31,0.435483870967742,0,3.84865540166642e-36,0.36663193924505,Inf,Inf
FVM-S1,48,47,94,7,30,34,0.319148936170213,0,2.64886191007742e-45,0.366454738241177,Inf,Inf
FVM-S1,64,63,126,7,32,36,0.253968253968254,0,1.44178954627621e-53,0.36639347931269,Inf,Inf
FVM-S1,101,100,200,7,35,39,0.175,0,1.35094604727522e-42,0.366349810521884,Inf,Inf
FVM-S2,4,3,6,7,5,5,0.833333333333333,0,7.37809341466367e-19,0.383731207621431,Inf,Inf
FVM-S2,6,5,10,7,9,9,0.9,0,6.35998530175877e-19,0.371503058142199,Inf,Inf
FVM-S2,8,7,14,7,13,13,0.928571428571429,0,8.39281898789248e-19,0.368639141760364,Inf,Inf
FVM-S2,12,11,22,7,16,19,0.727272727272727,0,4.75937246573602e-20,0.367141570609937,Inf,Inf
FVM-S2,16,15,30,7,18,23,0.6,0,6.7997042137468e-26,0.366740027741534,Inf,Inf
FVM-S2,24,23,46,7,23,28,0.5,0,2.37935924358909e-33,0.366493028292861,Inf,Inf
FVM-S2,32,31,62,7,27,31,0.435483870967742,0,2.23889111982784e-36,0.366414181336119,Inf,Inf
FVM-S2,48,47,94,7,30,34,0.319148936170213,0,1.30114529633059e-44,0.366360523341404,Inf,Inf
FVM-S2,64,63,126,7,32,36,0.253968253968254,0,2.78352386132998e-53,0.366341204350553,Inf,Inf
FVM-S2,101,100,200,7,35,39,0.175,0,2.02821791547005e-42,0.366329138196921,Inf,Inf
Nonlinear SPM-Padé 2,12,3,6,7,5,5,0.833333333333333,0,1.59664564164473e-27,0.350200536561821,Inf,Inf
Nonlinear SPM-Padé 3,12,4,8,7,5,6,0.625,0,5.22113328724654e-27,0.350200326174558,Inf,Inf
Local Linear Padé-ECM,12,4,8,7,5,5,0.625,0,0,0.367255761683234,Inf,Inf
